Gene name,Mouse gene name
IGHV1-69,Ighv1-49
IGHV1-69,Ighv1-80
IGHV1-69,Ighv1-62-3
IGHV1-69,Ighv1-7
IGHV1-69,Ighv1-37
IGHV1-69,Ighv1-9
IGHV1-69,Ighv1-54
IGHV1-69,Ighv1-36
IGHV1-69,Ighv1-12
IGHV1-69,Ighv1-75
IGHV1-69,Ighv1-24
IGHV1-69,Ighv1-71
IGHV1-69,Ighv1-16
IGHV1-69,Ighv1-61
IGHV1-69,Ighv1-56
IGHV1-69,Ighv1-18
IGHV1-69,Ighv1-19
IGHV1-69,Ighv14-2
IGHV1-69,Ighv15-2
IGHV1-69,Ighv1-77
IGHV1-69,Ighv1-85
IGHV1-69,Ighv1-26
IGHV1-69,Ighv1-84
IGHV1-69,Ighv1-76
IGHV1-69,Ighv1-59
IGHV1-69,Ighv1-58
IGHV1-69,Ighv1-15
IGHV1-69,Ighv14-4
IGHV1-69,Ighv1-72
IGHV1-69,Ighv14-3
IGHV1-69,Ighv1-81
IGHV1-69,Ighv1-69
IGHV1-69,Ighv14-1
IGHV1-69,Ighv1-23
IGHV1-69,Ighv1-11
IGHV1-69,Ighv1-22
IGHV1-69,Ighv1-43
IGHV1-69,Ighv1-82
IGHV1-69,Ighv1-63
IGHV1-69,Ighv1-52
IGHV1-69,Ighv1-67
IGHV1-69,Ighv1-53
IGHV1-69,Ighv1-34
IGHV1-69,Ighv1-64
IGHV1-69,Ighv1-47
IGHV1-69,Ighv1-55
IGHV1-69,Ighv1-74
IGHV1-69,Ighv1-78
IGHV1-69,Ighv1-66
IGHV1-69,Ighv1-50
IGHV1-69,Ighv1-39
IGHV2-70D,Ighv8-5
IGHV2-70D,Ighv8-9
IGHV2-70D,Ighv8-13
IGHV2-70D,Ighv8-11
IGHV2-70D,Ighv8-2
IGHV2-70D,Ighv8-6
IGHV2-70D,Ighv8-8
IGHV2-70D,Ighv8-12
IGHV2-70D,Ighv8-4
CAV1,Cav1
ATP13A4,Atp13a4
ZRANB3,Zranb3
IGHV1-69D,Ighv1-5
IGHV1-69D,Ighv1-31
IGHV1-69D,Ighv1-20
IGHV1-69D,Ighv1-62-1
IGHV1-69D,Ighv1-62-2
IGHV1-69D,Ighv1-42
IGHV1-69D,Ighv1-4
IGHV1-69D,Ighv1-49
IGHV1-69D,Ighv1-80
IGHV1-69D,Ighv1-62-3
IGHV1-69D,Ighv1-7
IGHV1-69D,Ighv1-37
IGHV1-69D,Ighv1-9
IGHV1-69D,Ighv1-54
IGHV1-69D,Ighv1-36
IGHV1-69D,Ighv1-12
IGHV1-69D,Ighv1-75
IGHV1-69D,Ighv1-24
IGHV1-69D,Ighv1-71
IGHV1-69D,Ighv1-16
IGHV1-69D,Ighv1-61
IGHV1-69D,Ighv1-56
IGHV1-69D,Ighv1-18
IGHV1-69D,Ighv1-19
IGHV1-69D,Ighv14-2
IGHV1-69D,Ighv15-2
IGHV1-69D,Ighv1-77
IGHV1-69D,Ighv1-85
IGHV1-69D,Ighv1-26
IGHV1-69D,Ighv1-84
IGHV1-69D,Ighv1-76
IGHV1-69D,Ighv1-59
IGHV1-69D,Ighv1-58
IGHV1-69D,Ighv1-15
IGHV1-69D,Ighv14-4
IGHV1-69D,Ighv1-72
IGHV1-69D,Ighv14-3
IGHV1-69D,Ighv1-81
IGHV1-69D,Ighv1-69
IGHV1-69D,Ighv14-1
IGHV1-69D,Ighv1-23
IGHV1-69D,Ighv1-11
IGHV1-69D,Ighv1-22
IGHV1-69D,Ighv1-43
IGHV1-69D,Ighv1-82
IGHV1-69D,Ighv1-63
IGHV1-69D,Ighv1-52
IGHV1-69D,Ighv1-67
IGHV1-69D,Ighv1-53
IGHV1-69D,Ighv1-34
IGHV1-69D,Ighv1-64
IGHV1-69D,Ighv1-47
IGHV1-69D,Ighv1-55
IGHV1-69D,Ighv1-74
IGHV1-69D,Ighv1-78
IGHV1-69D,Ighv1-66
IGHV1-69D,Ighv1-50
IGHV1-69D,Ighv1-39
IGHV2-70,Ighv8-5
IGHV2-70,Ighv8-9
IGHV2-70,Ighv8-13
IGHV2-70,Ighv8-11
IGHV2-70,Ighv8-2
IGHV2-70,Ighv8-6
IGHV2-70,Ighv8-8
IGHV2-70,Ighv8-12
IGHV2-70,Ighv8-4
TFB1M,Tfb1m
NEURL1,Neurl1a
IGHV3-72,Ighv7-3
IGHV3-72,Ighv7-4
IGHV3-72,Ighv7-2
IGHV3-72,Ighv7-1
FAM118A,Fam118a
IGHV3-73,Ighv7-3
IGHV3-73,Ighv7-4
IGHV3-73,Ighv7-2
IGHV3-73,Ighv7-1
EPN1,Epn1
MSLN,Msln
TRBV10-1,Trbv13-3
TRBV10-1,Trbv13-1
TRBV10-1,Trbv13-2
TRBV11-1,Trbv14
CLDN20,Cldn20
IGHV7-81,Ighv9-1
IGHV7-81,Ighv9-2
IGHV7-81,Ighv9-3
IGHV7-81,Ighv9-4
TRBV10-2,Trbv13-3
TRBV10-2,Trbv13-1
TRBV10-2,Trbv13-2
NOX3,Nox3
PROX2,Prox2
USP6NL,Usp6nl
SIPA1L1,Sipa1l1
RN7SKP186,Gm54795
GTF2H4,Gtf2h4
TRBV13,Trbv12-1
TRBV13,Trbv12-2
TRBV10-3,Trbv13-3
TRBV10-3,Trbv13-1
TRBV10-3,Trbv13-2
TRBV11-3,Trbv14
TRBV12-3,Trbv15
TRBV12-4,Trbv15
PHF8,Phf8
ZNF510,Zfp819
SMC1B,Smc1b
NFE2L3,Nfe2l3
BRD8,Brd8
ASTN2,Astn2
NLRP9,Nlrp9c
NLRP9,Nlrp9a
NLRP9,Nlrp9b
SVIL,Svil
CBX3,Cbx3
ADM,Adm
RFPL4AL1,Rfpl4
RIBC2,Ribc2
GAMT,Gamt
PTGFR,Ptgfr
PEX5,Pex5
SPHKAP,Sphkap
FBLN1,Fbln1
LMO4,Lmo4
GMNC,Gmnc
SMCO1,Smco1
PRPF38A,Prpf38a
RNF141,Rnf141
ETV5,Etv5
TMEM17,Tmem17
DAZAP1,Dazap1
PSMA2,Psma2
PIGK,Pigk
CRY2,Cry2
C6orf15,2300002M23Rik
CDSN,Cdsn
PSORS1C2,Psors1c2
GUCA2A,Guca2a
MRPL32,Mrpl32
SPG7,Spg7
ZBTB1,Zbtb1
C3orf33,E130311K13Rik
DNAJC2,Dnajc2
TRIM9,Trim9
SPATS2L,Spats2l
VARS2,Vars2
SNORD42B,Snord42b
SNORD4A,Snord4a
SNORD42A,Snord42a
C19orf25,2310011J03Rik
TLCD1,Tlcd1
EIF5A2,Eif5a2
MAPK8IP1,Mapk8ip1
HIF1A,Hif1a
NEK8,Nek8
LRRC26,Lrrc26
OMD,Omd
LCN8,Lcn8
MBD3,Mbd3
RNU6-1161P,Gm23231
CSDC2,Csdc2
PDXP,Pdxp
GPSM1,Gpsm1
U2SURP,U2surp
CCDC117,Ccdc117
FAM120C,Fam120c
FREY1,Frey1
RN7SKP86,Gm56285
MCU,Mcu
LIMK1,Limk1
PEX16,Pex16
KCNJ2,Kcnj2
DOCK7,Dock7
SGSM1,Sgsm1
NYX,Nyx
TMEM185A,Tmem185a
GALR2,Galr2
NUTM2E,Nutm2
APC2,Apc2
PLCE1,Plce1
EXOC7,Exoc7
PSMC2,Psmc2
POMT1,Pomt1
LARGE2,Large2
RBMX2,Rbmx2
SNAPC1,Snapc1
GPR34,Gpr34
FAM222A,Fam222a
CREB3L1,Creb3l1
REC8,Rec8
DACH2,Dach2
CROT,Crot
PSMC4,Psmc4
MIRLET7I,Mirlet7i
FAM76B,Fam76b
TRPV4,Trpv4
ELF4,Elf4
RAPGEF6,Rapgef6
LRRTM3,Lrrtm3
TAF3,Taf3
DIAPH2,Diaph2
CPNE6,Cpne6
PDCD4,Pdcd4
ABCB4,Abcb4
COL4A6,Col4a6
CEP57,Cep57
,Gm23377
,Gm24826
,Snord3b1
,Snord3b3
,Snord3b4
,Gm25203
,Snord3b-ps1
,Snord3b2
RNU6-822P,Gm25937
RNU6-243P,Gm55918
RN7SKP227,Gm56467
RN7SKP227,Gm55762
RN7SKP227,Gm55964
RNU6-235P,Gm26279
RNU6-139P,Gm22845
RN7SL647P,Gm25687
RNU6-281P,Gm22887
RNU2-28P,Gm24037
RNU6-1127P,Gm23805
RNU1-43P,Gm23099
RNU1-43P,Gm25926
RNU6-823P,Gm24917
RNU6-509P,Gm26468
ZNF560,Zfp78
RN7SKP46,Gm55534
RN7SKP177,Gm56256
BBIP1,Bbip1
RNU6-637P,Gm26002
RNU6-153P,Gm54512
RNU6-505P,Gm24686
PRR18,Prr18
RNU4-4P,Gm24635
WDR25,Wdr25
SFT2D1,Sft2d1
SFT2D1,Sft2d1rt
EDDM13,Eddm13
RNU4-91P,Gm22720
SNORA63E,Gm25852
RNU6-1109P,Gm24668
ADGRG7,Adgrg7
,Snora15
DGCR8,Dgcr8
ZNF583,Zfp583
TBXT,T
ASB2,Asb2
SHOC2,Shoc2
ABCB1,Abcb1b
ABCB1,Abcb1a
CPA3,Cpa3
EFEMP2,Efemp2
COL5A3,Col5a3
MRS2,Mrs2
GYG1,Gyg1
SMTN,Smtn
OTUB2,Otub2
IFI27L2,Ifi27
BEND3,Bend3
PREP,Prep
RDH8,Rdh8
PPP4R4,Ppp4r4
ADRA2A,Adra2a
SOHLH1,Sohlh1
PLEKHM3,Plekhm3
SHFL,Shfl
EGR2,Egr2
TAF5,Taf5
FIBP,Fibp
IQCA1,Iqca1
USP54,Usp54
KCNT1,Kcnt1
SELENOM,Selenom
HSPA2,Hspa2
NKX2-1,Nkx2-1
SCAF8,Scaf8
PPIA,Ppia
HLTF,Hltf
RNU6-1204P,Gm22296
OTX2,Otx2
GLTP,Gltp
FOXJ1,Foxj1
PLA2G3,Pla2g3
SKA2,Ska2
RNF185,Rnf185
PPAN,Ppan
PRR11,Prr11
PLCZ1,Plcz1
H2AZ2,H2az2
INPP5D,Inpp5d
SNORD105,Gm24067
SNORD105B,Gm23008
LIMK2,Limk2
FRMPD2,Frmpd2
EIF3G,Eif3g
JAG2,Jag2
CILK1,Cilk1
RTN4RL1,Rtn4rl1
CCDC85B,Ccdc85b
PURB,Purb
FOSL1,Fosl1
MIR4657,Gm22123
DPH1,Dph1
SNORD68,Snord68
CPNE7,Cpne7
DBNL,Dbnl
ATXN3L,Atxn3
C11orf68,AI837181
CAPZA3,Capza3
SEMA6A,Sema6a
SLC38A5,Slc38a5
DRAP1,Drap1
CENPW,Cenpw
PIK3C2G,Pik3c2g
KCNK16,Kcnk16
RNU6-1128P,Gm23337
CDK10,Cdk10
SEPTIN3,Septin3
OVCA2,Ovca2
MIR132,Mir132
HIC1,Hic1
SART1,Sart1
TMEM200A,Tmem200a
S1PR2,S1pr2
PACS2,Pacs2
B3GNT2,B3gnt2
HPS3,Hps3
MRPL4,Mrpl4
SMG6,Smg6
MAPK8,Mapk8
CCDC93,Ccdc93
REPS1,Reps1
RANBP3L,Ranbp3l
EPYC,Epyc
LUM,Lum
NEGR1,Negr1
RPN1,Rpn1
DCN,Dcn
BRCC3,Brcc3
BRCC3,Brcc3dc
SHISAL2A,Shisal2a
EIF1AD,Eif1ad
DNTTIP2,Dnttip2
MTX2,Mtx2
TRIM36,Trim36
SRR,Srr
C3orf38,4930453N24Rik
SPATA2L,Spata2l
ICAM1,Icam1
IDH3G,4933405O20Rik
IDH3G,Idh3g
Y_RNA,Gm56246
Y_RNA,Gm25283
VPS9D1,Vps9d1
PCNP,Pcnp
DEPDC5,Depdc5
WDR75,Wdr75
TSR1,Tsr1
RNU6-1256P,Gm56216
RNU6-1256P,Gm24527
ICAM4,Icam4
PTPRF,Ptprf
PGAM2,Pgam2
KY,Ky
MIER3,Mier3
POLM,Polm
BANF1,Banf1
CHMP1A,Chmp1a
COX6A1,Cox6a1
TRIAP1,Triap1
GATC,Gatc
CYB561,Cyb561
TEX22,Tex22
CST6,Cst6
ARHGAP22,Arhgap22
MTA1,Mta1
CATSPER1,Catsper1
DYNLL1,BC048507
DYNLL1,Dynll1
FARP2,Farp2
FANCD2OS,Fancd2os
BRK1,Brk1
CTF1,Ctf1
APOOL,Apool
GAL3ST3,Gal3st3
IRAK2,Irak2
PDZD9,Pdzd9
COQ5,Coq5
PCDHAC1,Pcdhac1
PLS3,Pls3
USP10,Usp10
SF3B2,Sf3b2
TARS1,Tars1
GHRL,Ghrl
DDX21,Ddx21
POP5,Pop5
YKT6,Ykt6
ZNF773,Zfy2
ZNF773,Zfy1
ZNF549,Zfy2
ZNF549,Zfy1
CCDC65,Ccdc65
ACE,Ace
ZIK1,Zik1
ATP2C2,Atp2c2
FKBP11,Fkbp11
ZNF134,Zfy2
ZNF134,Zfy1
FGL2,Fgl2
KCNS3,Kcns3
LAT2,Lat2
TEX13D,Tex13c1
TEX13D,Tex13d
TMEM37,Tmem37
GPC3,Gpc3
WNT10B,Wnt10b
RNU6-940P,Gm23506
RAB1B,Rab1b
DDN,Ddn
SNORD63B,Gm22200
SNORD63,Gm26109
CRIP2,Crip2
RHEBL1,Rhebl1
SEC13,Sec13
ZNF569,Zfp74
STK25,Stk25
HSPA9,Hspa9
DHH,Dhh
CNIH2,Cnih2
TUBA1B,Tuba1b
RTEL1,Rtel1
C16orf46,1700030J22Rik
FAM120B,Fam120b
TMEM151A,Tmem151a
CD248,Cd248
RIN1,Rin1
ZNF200,Zfp65
MAP3K3,Map3k3
ARF3,Arf3
AVPR2,Avpr2
ANKRD22,Ankrd22
STAMBPL1,Stambpl1
PRRG3,Prrg3
NOXA1,Noxa1
BRMS1,Brms1
RNU6-781P,Gm55465
CNGA2,Cnga2
FKBP5,Fkbp5
CRIP1,Crip1
COPS7A,Cops7a
NUDT13,Nudt13
CYP2S1,Cyp2s1
SYP,Syp
RFC2,Rfc2
LUC7L,Luc7l
HMGCLL1,Hmgcll1
AXL,Axl
STS,
STS,Sts
UBAP2,Ubap2
MIR378B,Gm54396
IGHA2,Igha
B4GAT1,B4gat1
SLC25A20,Slc25a20
IGHE,Ighe
SLC29A2,Slc29a2
CHIC1,Chic1
SNORA11F,Gm22676
ECD,Ecd
BEGAIN,Begain
PRSS3,Try10
PRSS3,Prss2
PRSS3,Prss3
PRSS3,Try5
PRSS3,Prss1l
PRSS3,Try4
PRSS3,Prss1
PRSS3,Prss3l
HAPSTR2,Gm715
GPX7,Gpx7
FAM156B,Vcf2
P4HTM,P4htm
LIMD2,Limd2
LYRM4,Lyrm4
FOXD1,Foxd1
VASH1,Vash1
SLC44A3,Slc44a3
ANKRA2,Ankra2
DCAF8L2,Dcaf8l
SLC25A25,Slc25a25
NRN1,Nrn1
IRF2BPL,Irf2bpl
LRRC74A,Lrrc74a
KPNB1,Kpnb1
MID1IP1,Mid1ip1
CLIP2,Clip2
F13A1,F13a1
CCDC97,Ccdc97
UTP15,Utp15
DALRD3,Dalrd3
TMEM91,Tmem91
PACS1,Pacs1
FAM149B1,Fam149b
CKB,Ckb
CCDC28A,Ccdc28a
XPO6,Xpo6
INHBA,Inhba
ATG4B,Atg4b
COA8,Coa8
B9D2,B9d2
DNAJC9,Dnajc9
DNAJB5,Dnajb5
TRBC1,Trbc1
TRBC1,Trbc2
MRPS16,Mrps16
BCKDHA,Bckdha
TRBC2,Trbc1
TRBC2,Trbc2
TRBV30,Trbv31
ASXL1,Asxl1
TRPV6,Trpv6
ANXA7,Anxa7
SSX2,Ssxb8
SSX2,Ssxb9
SSX2,Ssxb16
SSX2,Ssxb15
SSX2,Ssxa1
SSX2,Ssxb6
SSX2,Ssxb14
SSX2,Ssxb2
SSX2,Ssxb5
SSX2,Ssxb1
SSX2,Ssxb3
SSX2,Ssxb13
SSX2,Ssxb10
LAG3,Lag3
SAR1B,Sar1b
PRKD1,Prkd1
DAGLA,Dagla
SLC17A4,Slc17a4
MIR425,Mir425
NDUFAF3,Ndufaf3
CD4,Cd4
MAN1B1,Man1b1
SLC17A1,Slc17a1
TBX21,Tbx21
DMAC2L,Dmac2l
ERICH4,Erich4
PKN2,Pkn2
MRPL10,Mrpl10
SERTM2,Sertm2
TRPV5,Trpv5
RGN,Rgn
CELF2,Celf2
MIR191,Gm55600
PTX3,Ptx3
DIO2,Dio2
ZNF205,Zfp13
TMEM258,Tmem258
RNU6-1311P,Gm23847
SNTN,Sntn
SEC24A,Sec24a
LRRC46,Lrrc46
OR1J1,Or1j1
OR1J4,Or1j4
RTN1,Rtn1
OR1Q1,Or1q1
THOC7,Thoc7
GLIS3,Glis3
SLC17A3,Slc17a3
FEN1,Fen1
SCRN2,Scrn2
KEL,Kel
SIGLEC6,Siglech
GPR162,Gpr162
RNU12-2P,Gm56207
RBM10,Rbm10
FADS1,Fads1
CAMLG,Caml
BPIFA1,Bpifa1
BPIFA1,Bpifa5
TIGIT,Tigit
DDX46,Ddx46
LDHD,Ldhd
ABCD3,Abcd3
KPNA2,Kpna2rt
KPNA2,Kpna2
P3H3,P3h3
CDKN3,Cdkn3
TRIM38,Trim38
PIP,Pip
LLCFC1,Llcfc1
FBP2,Fbp2
H1-1,H1f1
H2AC4,H2ac6
H2AC4,H2ac7
H2AC4,H2ac23
FLYWCH1,Flywch1
PECAM1,Pecam1
H1-6,H1f6
IQUB,Iqub
H1-4,H1f4
H2BC6,H2bc4
FBP1,Fbp1
H4C4,H4c4
THRB,Thrb
VSTM2L,Vstm2l
MIR99B,Mir99b
MIRLET7E,Mirlet7e
MIR125A,Mir125a
HAS1,Has1
RAB22A,Rab22a
POLG2,Polg2
VAPB,Vapb
FPR2,Fpr-rs7
FPR2,Fpr3
FPR2,Fpr-rs6
FPR2,Fpr-rs3
FPR2,Fpr2
FPR2,Fpr-rs4
MYO1B,Myo1b
MEGF9,Megf9
UBA1,Uba1
C5orf24,B230219D22Rik
CLEC18C,Clec18a
NOVA2,Nova2
FBXW2,Fbxw2
SMURF2,Smurf2
TXNDC15,Txndc15
GNB3,Gnb3
NDUFA5,Ndufa5
DDX39B,Ddx39b
STX16,Stx16
IL12RB1,Il12rb1
GLE1,Gle1
ATOX1,Atox1
ZZZ3,Zzz3
GLRA1,Glra1
FADS3,Fads3
LMOD2,Lmod2
WASL,Wasl
DDX5,Ddx5
LRRC23,Lrrc23
HYAL4,Hyal4
RNU6-923P,Gm24535
RNU6-923P,Gm24204
SLC45A2,Slc45a2
IFI30,Ifi30
ARHGAP5,Arhgap5
PCOLCE,Pcolce
MOSPD3,Mospd3
C1QTNF3,C1qtnf3
MPV17L2,Mpv17l2
GJB4,Gjb4
DMRTA2,Dmrta2
NDRG2,Ndrg2
GPRIN1,Gprin1
RAB3A,Rab3a
SNCB,Sncb
HIVEP3,Hivep3
TFR2,Tfr2
NKD1,Nkd1
RAB3IL1,Rab3il1
JUND,Jund
LSM4,Lsm4
CFAP70,Cfap70
PANK2,Pank2
ENO2,Eno2
SNORD117,Gm25128
SNORD84,Gm22589
BCAR3,Bcar3
LTA,Lta
CNBP,Cnbp
EIF4E1B,Eif4e1b
NDUFB11,Ndufb11
NDUFB11,Ndufb11b
PGPEP1,Pgpep1
MYRF,Myrf
LTB,Ltb
UBAP1,Ubap1
NUP62CL,Nup62cl
ATE1,Ate1
TSPAN17,Tspan17
LRRC25,Lrrc25
LST1,Lst1
DNAAF6,Dnaaf6
DNAAF6,Dnaaf6rt
ACTL6B,Actl6b
ADGRG1,Adgrg1
SSBP4,Ssbp4
GNB2,Gnb2
RNU1-65P,Gm24038
RNU1-65P,Gm24788
RNU1-65P,Gm23467
RNU1-65P,Gm22248
RNU1-65P,Gm25411
RNU1-65P,Gm23100
RNU1-65P,Gm55546
RNU1-65P,Gm56286
RNU1-65P,Gm22361
RNU1-65P,Gm26312
RNU1-65P,Gm24446
RNU1-65P,Gm26046
RNU1-65P,Gm54372
RNU1-65P,Gm54765
RNU1-65P,Gm54446
RNU1-65P,Gm22507
RNU1-65P,Gm26121
RNU1-65P,Gm55957
RNU1-65P,Gm24524
RNU1-65P,Gm24152
RNU1-65P,Gm26126
RNU1-65P,Gm23101
RNU1-65P,Gm54980
RNU1-65P,Gm23497
RNU1-65P,Gm25627
ATP7A,Atp7a
GHITM,Ghitm
,Gm56450
,Gm56451
CTNNBL1,Ctnnbl1
RNU2-50P,Gm25259
MYORG,Myorg
SRFBP1,Srfbp1
ATN1,Atn1
KIF24,Kif24
GPR15LG,Gpr15lg
BARHL2,Barhl2
CDHR1,Cdhr1
ZNF483,Zkscan16
CNN3,Cnn3
HGS,Hgs
LOX,Lox
MYOD1,Myod1
C12orf57,Grcc10
KCNC1,Kcnc1
PTGR1,Ptgr1
PTPN6,Ptpn6
VAV3,Vav3
SEPTIN2,Septin2
ISYNA1,Isyna1
REXO2,Rexo2
LRIT2,Lrit2
RGR,Rgr
AIF1,Aif1
KCNQ2,Kcnq2
POP7,Pop7
PLCD3,Plcd3
EPO,Epo
CCNL1,Ccnl1
ZAN,Zan
SNORA38,Gm24143
SNORA38,Gm23442
APOM,Apom
ACBD4,Acbd4
DNAJC25,Dnajc25
LRIT1,Lrit1
VIM,Vim
GNG10,Gng10
FUZ,Fuz
C6orf47,D17H6S53E
GPANK1,Gpank1
RNU6-1013P,Gm24211
RNU6-1013P,Gm26143
UGCG,Ugcg
NXPE4,Nxpe4
MPZL2,Mpzl2
RN7SKP96,Gm55016
SHOC1,Shoc1
GABRA2,Gabra2
TLCD4,Tlcd4
MIR200C,Mir200c
SCARNA12,Gm23547
TPI1,Tpi1
HEXIM1,Hexim1
NMT1,Nmt1
LRRC8D,Lrrc8d
FOLR1,Folr1
RS1,Rs1
LRRC20,Lrrc20
PHKA2,Phka2
S1PR1,S1pr1
ABHD16A,Abhd16a
NCEH1,Nceh1
NCS1,Ncs1
COMMD3,Commd3
ATXN2,Atxn2
NUDT16,Nudt16l2
NUDT16,Nudt16
SUPT20HL1,
ELAPOR1,Elapor1
SUV39H1,Suv39h1
DIPK2A,Dipk2a
PLXDC1,Plxdc1
PNKP,Pnkp
MTMR2,Mtmr2
EPHB4,Ephb4
ASS1,Ass1
GLOD5,Glod5
RABL3,Rabl3
ERAS,Eras
SLC5A1,Slc5a1
DTHD1,Dthd1
PCSK1N,Pcsk1n
PQBP1,Pqbp1
FBXO7,Fbxo7
ATXN7,Atxn7
NPNT,Npnt
ZNF189,Zfp189
PAFAH1B2,Pafah1b2
BMI1,Bmi1
SLC12A9,Slc12a9
ARL5C,Arl5c
ST6GALNAC6,St6galnac6
TIMP3,Timp3
STAC2,Stac2
SYN3,Syn3
LY6G6F,Ly6g6f
SLC16A5,Slc16a5
TAGLN,Tagln
LY6G6C,Ly6g6c
NUP50,Nup50
SLC35A2,Slc35a2
ZBBX,Zbbx
ADRB1,Adrb1
RNU6-709P,Gm25552
CCDC186,Ccdc186
MSH5,Msh5
ARMC7,Armc7
TRIP6,Trip6
NT5C,Nt5c
ENTREP1,Entrep1
RNF214,Rnf214
VWA2,Vwa2
ARHGAP29,Arhgap29
NRSN2,Nrsn2
SYT15,Syt15
JPT1,Jpt1
OR2K2,Or2k2
ANAPC4,Anapc4
TUSC1,Tusc1
NDUFAF2,Ndufaf2
SRRT,Srrt
TRIB3,Trib3
KLF9,Klf9
UGT3A2,Ugt3a2
UGT3A2,Ugt3a1
RNU2-25P,Gm25202
RNU2-25P,Gm25813
GPRIN2,Gprin2
RNU6-919P,Gm22301
SLC9A8,Slc9a8
PLEKHA1,Plekha1
ECPAS,Ecpas
ATXN10,Atxn10
MED25,Med25
TMEM230,Tmem230
RN7SKP27,Gm55819
RNU6-843P,Gm55662
LMBRD2,Lmbrd2
SH3PXD2A,Sh3pxd2a
,Gm22489
,Gm56367
RNU6-221P,Gm26402
RNU6-612P,Gm24042
TMEM45A,Tmem45a
TMEM45A,Tmem45a2
RN7SL531P,Gm24576
RNU6-685P,Gm56024
RN7SKP164,Gm56456
RNU6-1312P,Gm23981
SUMO2,Sumo2
RNU6-775P,Gm26402
SNORD89,Snord89
RNU2-41P,Gm22451
WDFY4,Wdfy4
RNU6-675P,Gm24378
,Gm23568
,Gm23561
,Gm24568
,Gm22447
,Gm24829
IGSF21,Igsf21
RNU6-904P,Gm23434
RN7SKP93,Gm54754
RNU6-627P,Gm55634
RN7SL283P,Gm24812
RNU6-182P,Gm24848
NADK2,Nadk2
CEP164,Cep164
RNU6-989P,Gm25081
,Gm55458
RNU6-1045P,Gm24848
COA7,Coa7
RNU6-766P,Gm56091
C1QTNF7,C1qtnf7
NUP85,Nup85
NGLY1,Ngly1
OLFML3,Olfml3
RNU6-1051P,Gm56000
RNU6-619P,Gm25326
RNU6-169P,Gm55032
KCNF1,Kcnf1
WNT7B,Wnt7b
RNU6-722P,Gm24867
RNU6-722P,Gm25622
SLC66A3,Slc66a3
TRO,Tro
GCLM,Gclm
GUCY1A1,Gucy1a1
PFDN4,Pfdn4
MRPL43,Mrpl43
FAM217B,Fam217b
SREBF2,Srebf2
TGFBR3,Tgfbr3
ADGRG3,Adgrg3
PPP1R3D,Ppp1r3d
CDH26,Cdh26
E2F6,E2f6
LRRC55,Lrrc55
KCNK15,Kcnk15
SKP2,Skp2
TNKS1BP1,Tnks1bp1
RIMS4,Rims4
DRC7,Drc7
LARP4B,Larp4b
GGA3,Gga3
NDOR1,Ndor1
SIRPG,Sirpd
SIRPG,Gm5150
SIRPG,Sirpb1a
SIRPG,Sirpb1c
SIRPG,Sirpb1b
SIRPG,Sirpa
STAP2,Stap2
GIGYF1,Gigyf1
SSRP1,Ssrp1
SZT2,Szt2
SIRPA,Sirpd
SIRPA,Gm5150
SIRPA,Sirpb1a
SIRPA,Sirpb1c
SIRPA,Sirpb1b
SIRPA,Sirpa
MOV10L1,Mov10l1
NAP1L1,Nap1l1
RNU6-1244P,Gm54461
CASP7,Casp7
PRG3,Prg3
OXSM,Oxsm
PRG2,Prg2
NAB1,Nab1
CHEK2,Chek2
PDYN,Pdyn
DAGLB,Daglb
VWA7,Vwa7
MIR1224,Mir1224
ALG3,Alg3
AP5S1,Ap5s1
AKT1S1,Akt1s1
DMRT2,Dmrt2
RNU6-975P,Gm22686
DDAH2,Ddah2
KATNB1,Katnb1
SNAP25,Snap25
NUDT22,Nudt22
DCLRE1A,Dclre1a
GUCY1B1,Gucy1b1
ATP6V1E2,Atp6v1e2
MIGA2,Miga2
KDELR2,Kdelr2
RHOQ,Rhoq
PLEKHS1,Plekhs1
YIPF2,Yipf2
CENPB,Cenpb
CDC25B,Cdc25b
SLC4A2,Slc4a2
EEF1AKMT4,Eef1akmt4
RNU6-283P,Gm54497
RNU6-283P,Gm24846
RNU6-283P,Gm54952
UGT1A9,Ugt1a10
UGT1A9,Ugt1a8
UGT1A9,Ugt1a9
UBR2,Ubr2
RNU1-91P,Gm55063
G3BP1,G3bp1
PPEF1,Ppef1
MRPS7,Mrps7
TDRD1,Tdrd1
OSBPL5,Osbpl5
RNU6-20P,Gm22454
CAMK2N2,Camk2n2
PRPH2,Prph2
TBCC,Tbcc
PHTF1,Phtf1
UGT1A6,Ugt1a6a
UGT1A6,Ugt1a7c
UGT1A6,Ugt1a6b
CYLD,Cyld
IARS1,Iars1
PEX7,Pex7
DMAC2,Dmac2
SLC25A19,Slc25a19
PSMD2,Psmd2
LZTS2,Lzts2
SLC35D3,Slc35d3
AKR1E2,Akr1e1
HLA-DMB,H2-DMb1
HLA-DMB,H2-DMb2
FAT4,Fat4
HLA-DMA,H2-DMa
SUPT20HL2,
FXYD1,Fxyd1
PDK3,Pdk3
UGT1A1,Ugt1a1
HJURP,Hjurp
ARMCX1,Armcx1
MRPL14,Mrpl14
RNU6-746P,Gm23379
TMEM165,Tmem165
TMEM63B,Tmem63b
ARMCX6,Armcx6
F3,F3
GRB2,Grb2
ARMCX3,Armcx3
JAG1,Jag1
IRX2,Irx2
TRPM8,Trpm8
MAN1A2,Man1a2
